arrived_at,num_prefill_tokens,num_decode_tokens,prompt_type,arrival_rate_update
0.956389412,25,175,type4,25
0.972494983,25,25,type1,50
0.98888735,25,75,type2,20
1.003136631,25,25,type1,50
1.007756928,25,125,type3,50
1.014945751,25,75,type2,20
1.023252887,25,125,type3,50
1.026238486,25,175,type4,25
1.039492577,25,125,type3,50
1.04150758,25,175,type4,25
1.062063704,25,125,type3,50
1.06406876,25,125,type3,50
1.066115331,25,25,type1,50
1.077086684,25,175,type4,25
1.07763134,25,125,type3,50
1.078110832,25,125,type3,50
1.081757073,25,175,type4,25
1.083162804,25,175,type4,25
1.086791548,25,125,type3,50
1.092751157,25,25,type1,50
1.095116028,25,75,type2,20
1.103566541,25,75,type2,20
1.114039299,25,75,type2,20
1.143329293,25,175,type4,25
1.160594058,25,25,type1,50
1.170666965,25,175,type4,25
1.174101444,25,175,type4,25
1.179959862,25,125,type3,50
1.182386954,25,25,type1,50
1.185476317,25,125,type3,50
1.192185783,25,75,type2,20
1.194393394,25,25,type1,50
1.197334779,25,25,type1,50
1.208123429,25,175,type4,25
1.211810812,25,125,type3,50
1.230830853,25,125,type3,50
1.236035555,25,175,type4,25
1.247375018,25,125,type3,50
1.248764864,25,125,type3,50
1.259197724,25,25,type1,50
1.265294361,25,25,type1,50
1.267323238,25,125,type3,50
1.298177006,25,125,type3,50
1.316564874,25,75,type2,20
1.323796255,25,75,type2,20
1.327875915,25,125,type3,50
1.338207343,25,25,type1,50
1.361436731,25,25,type1,50
1.366221759,25,125,type3,50
1.367944751,25,125,type3,50
1.372627525,25,75,type2,20
1.381830482,25,125,type3,50
1.383117007,25,25,type1,50
1.383225552,25,125,type3,50
1.396080159,25,125,type3,50
1.412313718,25,25,type1,50
1.440567713,25,25,type1,50
1.446545169,25,25,type1,50
1.453278163,25,25,type1,50
1.498084337,25,125,type3,50
1.502210374,25,125,type3,50
1.504499733,25,75,type2,20
1.508328296,25,25,type1,50
1.51043685,25,125,type3,50
1.536662979,25,75,type2,20
1.561046248,25,25,type1,50
1.567584632,25,125,type3,50
1.56873308,25,25,type1,50
1.574670004,25,25,type1,50
1.577086625,25,75,type2,20
1.580977518,25,125,type3,50
1.583358182,25,25,type1,50
1.595410917,25,25,type1,50
1.602041177,25,125,type3,50
1.608259364,25,75,type2,20
1.61666935,25,75,type2,20
1.625367337,25,125,type3,50
1.629479718,25,25,type1,50
1.631989377,25,75,type2,20
1.64847344,25,25,type1,50
1.649688384,25,125,type3,50
1.65182076,25,75,type2,20
1.657405469,25,125,type3,50
1.662835876,25,125,type3,50
1.663224544,25,25,type1,50
1.664178984,25,75,type2,20
1.672423875,25,25,type1,50
1.674015974,25,125,type3,50
1.678697658,25,125,type3,50
1.67997296,25,25,type1,50
1.706357612,25,75,type2,20
1.712568437,25,75,type2,20
1.720785076,25,25,type1,50
1.746128907,25,125,type3,50
1.771701309,25,75,type2,20
1.776721984,25,125,type3,50
1.792360147,25,25,type1,50
1.800398478,25,75,type2,20
1.804649048,25,125,type3,50
1.817514145,25,125,type3,50
1.818338404,25,125,type3,50
1.818341995,25,25,type1,50
1.826887499,25,75,type2,20
1.845450012,25,25,type1,50
1.8478878,25,25,type1,50
1.863520661,25,25,type1,50
1.865975595,25,25,type1,50
1.8680767,25,125,type3,50
1.876319081,25,25,type1,50
1.883671102,25,125,type3,50
1.883826546,25,125,type3,50
1.892591014,25,175,type4,1
1.900117695,25,125,type3,50
1.902403449,25,125,type3,50
1.911086546,25,125,type3,50
1.915505122,25,125,type3,50
1.920755368,25,25,type1,50
1.924782522,25,25,type1,50
1.935649848,25,125,type3,50
1.960682724,25,25,type1,50
1.961091149,25,125,type3,50
1.969590194,25,25,type1,50
1.971761884,25,125,type3,50
1.990544059,25,125,type3,50
2.003089658,25,125,type3,50
2.009434028,25,25,type1,50
2.016789325,25,125,type3,50
2.028888732,25,25,type1,50
2.032577597,25,25,type1,50
2.037058032,25,25,type1,50
2.041568462,25,25,type1,50
2.047226913,25,75,type2,20
2.047468649,25,25,type1,50
2.062104024,25,75,type2,20
2.06490799,25,25,type1,50
2.085809645,25,125,type3,50
2.08783788,25,25,type1,50
2.110886079,25,25,type1,50
2.119204159,25,75,type2,20
2.121820579,25,25,type1,50
2.12588185,25,25,type1,50
2.128300888,25,125,type3,50
2.134260454,25,25,type1,50
2.137899568,25,125,type3,50
2.142815273,25,25,type1,50
2.147147562,25,125,type3,50
2.159610194,25,25,type1,50
2.163459765,25,25,type1,50
2.167564967,25,25,type1,50
2.171570246,25,125,type3,50
2.190137093,25,125,type3,50
2.198193059,25,25,type1,50
2.19866155,25,75,type2,20
2.201528791,25,75,type2,20
2.207652809,25,125,type3,50
2.22572665,25,25,type1,50
2.234309631,25,25,type1,50
2.236475946,25,25,type1,50
2.247304379,25,25,type1,50
2.261983799,25,25,type1,50
2.291680064,25,25,type1,50
2.294474661,25,25,type1,50
2.299552757,25,75,type2,20
2.309064794,25,25,type1,50
2.348388949,25,25,type1,50
2.35109448,25,125,type3,10
2.368912165,25,25,type1,50
2.377931306,25,25,type1,50
2.411089733,25,25,type1,50
2.41331836,25,25,type1,50
2.423971602,25,25,type1,50
2.434336254,25,25,type1,50
2.448725469,25,75,type2,20
2.456448822,25,25,type1,50
2.461161316,25,25,type1,50
2.461266599,25,25,type1,50
2.475568418,25,125,type3,10
2.487053882,25,25,type1,50
2.491270108,25,25,type1,50
2.496693877,25,125,type3,50
2.506881956,25,125,type3,50
2.508250646,25,125,type3,50
2.515258497,25,125,type3,50
2.526148381,25,125,type3,50
2.536865802,25,125,type3,50
2.541514881,25,25,type1,50
2.551892814,25,75,type2,20
2.554652853,25,75,type2,20
2.566257548,25,75,type2,20
2.567237845,25,75,type2,20
2.581034818,25,125,type3,50
2.58873063,25,125,type3,50
2.593782364,25,25,type1,50
2.603977094,25,125,type3,50
2.606548238,25,125,type3,50
2.607298235,25,25,type1,50
2.621095834,25,25,type1,50
2.643227189,25,25,type1,50
2.650194417,25,75,type2,20
2.664293662,25,25,type1,50
2.673096701,25,125,type3,50
2.699155297,25,125,type3,50
2.699173952,25,125,type3,50
2.701770436,25,25,type1,50
2.708680118,25,25,type1,50
2.723131492,25,125,type3,50
2.733075341,25,25,type1,50
2.733530225,25,25,type1,50
2.750683492,25,25,type1,50
2.750911979,25,25,type1,50
2.757931637,25,25,type1,50
2.768271948,25,25,type1,50
2.778556602,25,25,type1,50
2.779300176,25,125,type3,50
2.793658346,25,25,type1,50
2.799285559,25,25,type1,300
2.79995604,25,125,type3,50
2.803640006,25,25,type1,300
2.807450111,25,25,type1,300
2.809461772,25,125,type3,50
2.811118397,25,25,type1,300
2.812442091,25,125,type3,50
2.816152492,25,25,type1,300
2.816238838,25,25,type1,300
2.82621271,25,75,type2,20
2.828219901,25,25,type1,300
2.834062041,25,25,type1,300
2.837627921,25,75,type2,20
2.839410023,25,25,type1,300
2.839990025,25,125,type3,50
2.841041755,25,25,type1,300
2.84167243,25,25,type1,300
2.842161164,25,25,type1,300
2.850689264,25,125,type3,50
2.851575524,25,25,type1,300
2.85189753,25,25,type1,300
2.852929509,25,25,type1,300
2.861085391,25,25,type1,300
2.862684669,25,25,type1,300
2.86412339,25,25,type1,300
2.868407467,25,25,type1,300
2.869934262,25,25,type1,300
2.873394421,25,25,type1,300
2.874329981,25,25,type1,300
2.876065293,25,125,type3,50
2.87776812,25,25,type1,300
2.878199264,25,25,type1,300
2.878873168,25,25,type1,300
2.881247384,25,25,type1,300
2.885333281,25,25,type1,300
2.896769078,25,25,type1,300
2.898704788,25,125,type3,50
2.901007598,25,25,type1,300
2.901523422,25,75,type2,20
2.905214781,25,25,type1,300
2.906497104,25,25,type1,300
2.907084421,25,25,type1,300
2.907716413,25,25,type1,300
2.909124803,25,25,type1,300
2.91276708,25,125,type3,50
2.914606138,25,25,type1,300
2.915474657,25,25,type1,300
2.917698155,25,25,type1,300
2.921304159,25,25,type1,300
2.925131199,25,25,type1,300
2.928942435,25,25,type1,300
2.929847581,25,25,type1,300
2.931680848,25,25,type1,300
2.931732447,25,25,type1,300
2.94020939,25,25,type1,300
2.94196679,25,25,type1,300
2.944084346,25,25,type1,300
2.945344265,25,25,type1,300
2.945354215,25,25,type1,300
2.946485529,25,25,type1,300
2.946667983,25,25,type1,300
2.94749083,25,25,type1,300
2.9505911,25,25,type1,300
2.954576868,25,25,type1,300
2.959439107,25,25,type1,300
2.961414162,25,25,type1,300
2.964163088,25,25,type1,300
2.967895997,25,25,type1,300
2.968214047,25,125,type3,50
2.969176825,25,125,type3,50
2.993656989,25,25,type1,300
2.99372728,25,25,type1,300
2.994260803,25,125,type3,50
2.996458008,25,25,type1,300
2.997122771,25,25,type1,300
3.009226659,25,75,type2,20
3.012435636,25,75,type2,20
3.012963868,25,25,type1,300
3.01448466,25,25,type1,300
3.015636301,25,25,type1,300
3.016988334,25,25,type1,300
3.017361849,25,25,type1,300
3.017553152,25,25,type1,300
3.01967678,25,25,type1,300
3.020081486,25,25,type1,300
3.020626409,25,25,type1,300
3.02400799,25,25,type1,300
3.02553265,25,25,type1,300
3.027023486,25,25,type1,300
3.027711798,25,25,type1,300
3.034462017,25,125,type3,50
3.037782042,25,25,type1,300
3.043402003,25,25,type1,300
3.046747747,25,25,type1,300
3.057800964,25,25,type1,300
3.059112753,25,25,type1,300
3.059407074,25,25,type1,300
3.063424977,25,25,type1,300
3.065768093,25,25,type1,300
3.069897674,25,25,type1,300
3.073636665,25,25,type1,300
3.075980167,25,125,type3,50
3.081200367,25,125,type3,50
3.081516839,25,25,type1,300
3.082954005,25,125,type3,50
3.083664346,25,25,type1,300
3.08492938,25,25,type1,300
3.085235374,25,25,type1,300
3.08661083,25,25,type1,300
3.093184471,25,25,type1,300
3.101041972,25,25,type1,300
3.101886468,25,25,type1,300
3.104906403,25,25,type1,300
3.105380342,25,25,type1,300
3.106849085,25,25,type1,300
3.124123008,25,125,type3,50
3.124249075,25,125,type3,50
3.130983249,25,25,type1,300
3.132252913,25,25,type1,300
3.13226651,25,25,type1,300
3.135180192,25,125,type3,50
3.140953237,25,25,type1,300
3.14222875,25,25,type1,300
3.146873136,25,25,type1,300
3.147126901,25,25,type1,300
3.160050863,25,25,type1,300
3.161504307,25,25,type1,300
3.162332607,25,25,type1,300
3.162495851,25,25,type1,300
3.164560035,25,25,type1,300
3.166688807,25,25,type1,300
3.166791359,25,25,type1,300
3.172097509,25,25,type1,300
3.182544397,25,125,type3,50
3.188877076,25,25,type1,300
3.1892438,25,25,type1,300
3.189976084,25,25,type1,300
3.190761745,25,25,type1,300
3.196296121,25,125,type3,50
3.199055562,25,25,type1,300
3.199230038,25,25,type1,300
3.201588557,25,25,type1,300
3.201611686,25,75,type2,20
3.203911607,25,25,type1,300
3.205152539,25,125,type3,50
3.209389878,25,125,type3,50
3.209528195,25,75,type2,20
3.210127429,25,125,type3,50
3.210659095,25,25,type1,300
3.213177754,25,25,type1,300
3.216423846,25,25,type1,300
3.21882434,25,25,type1,300
3.219064747,25,25,type1,300
3.219442971,25,25,type1,300
3.219719706,25,25,type1,300
3.225682995,25,25,type1,300
3.226191101,25,25,type1,300
3.226452464,25,25,type1,300
3.228185633,25,125,type3,50
3.229562194,25,25,type1,300
3.232117343,25,25,type1,300
3.239765839,25,25,type1,300
3.24772445,25,25,type1,300
3.248091248,25,25,type1,300
3.249511101,25,125,type3,50
3.252072531,25,25,type1,300
3.256655434,25,25,type1,300
3.261176321,25,25,type1,300
3.266167945,25,25,type1,300
3.267527747,25,25,type1,300
3.270649616,25,25,type1,300
3.273707922,25,25,type1,300
3.274362827,25,25,type1,300
3.275375726,25,25,type1,300
3.283810084,25,25,type1,300
3.285427546,25,25,type1,300
3.287029282,25,25,type1,300
3.288848605,25,25,type1,300
3.29633349,25,25,type1,300
3.296736461,25,25,type1,300
3.297229005,25,25,type1,300
3.307265295,25,25,type1,300
3.309369838,25,25,type1,300
3.310816142,25,25,type1,300
3.314374411,25,25,type1,300
3.315191075,25,25,type1,300
3.315329965,25,25,type1,300
3.315520054,25,25,type1,300
3.31686691,25,25,type1,300
3.318571668,25,25,type1,300
3.322639866,25,25,type1,300
3.327039418,25,25,type1,300
3.32889282,25,25,type1,300
3.331020371,25,25,type1,300
3.331767863,25,25,type1,300
3.332121712,25,25,type1,300
3.332265276,25,25,type1,300
3.333559462,25,25,type1,300
3.335016155,25,25,type1,300
3.335169742,25,25,type1,300
3.337841362,25,75,type2,20
3.340037663,25,25,type1,300
3.343941199,25,25,type1,300
3.344324538,25,125,type3,50
3.348992832,25,25,type1,300
3.350532931,25,25,type1,300
3.353091329,25,25,type1,300
3.354500433,25,25,type1,300
3.356853333,25,25,type1,300
3.357007399,25,125,type3,50
3.359406654,25,25,type1,300
3.364346706,25,125,type3,50
3.365175115,25,25,type1,300
3.366339546,25,25,type1,300
3.366715095,25,25,type1,300
3.369411837,25,25,type1,300
3.375700496,25,25,type1,300
3.375961867,25,25,type1,300
3.377349211,25,25,type1,300
3.37772594,25,25,type1,300
3.378527158,25,25,type1,300
3.378756322,25,25,type1,300
3.379428908,25,25,type1,300
3.38141185,25,25,type1,300
3.387287925,25,25,type1,300
3.387793264,25,25,type1,300
3.390791432,25,25,type1,300
3.392024385,25,25,type1,300
3.394135958,25,25,type1,300
3.395448507,25,25,type1,300
3.398299445,25,125,type3,50
3.405920445,25,125,type3,50
3.40924317,25,25,type1,300
3.409612345,25,25,type1,300
3.410331308,25,25,type1,300
3.411832586,25,125,type3,50
3.412229758,25,25,type1,300
3.413763459,25,125,type3,50
3.421623982,25,25,type1,300
3.424291475,25,125,type3,50
3.426429864,25,75,type2,20
3.430293444,25,25,type1,300
3.432872442,25,25,type1,300
3.433306901,25,125,type3,50
3.434173749,25,125,type3,50
3.437790347,25,125,type3,50
3.438315024,25,125,type3,50
3.440100099,25,25,type1,300
3.441628477,25,125,type3,50
3.458031698,25,25,type1,300
3.460554593,25,25,type1,300
3.468843797,25,25,type1,300
3.469015734,25,125,type3,50
3.469951022,25,25,type1,300
3.4715194,25,25,type1,300
3.47187319,25,25,type1,300
3.47514882,25,125,type3,50
3.48604523,25,25,type1,300
3.486195039,25,25,type1,300
3.488767422,25,25,type1,300
3.493535568,25,25,type1,300
3.496401576,25,25,type1,300
3.496415278,25,25,type1,300
3.497028535,25,25,type1,300
3.498707788,25,25,type1,300
3.501087023,25,25,type1,300
3.502211456,25,25,type1,300
3.503794649,25,25,type1,300
3.505740311,25,25,type1,300
3.506123981,25,25,type1,300
3.507206628,25,25,type1,300
3.511021214,25,25,type1,300
3.511917732,25,25,type1,300
3.514669272,25,25,type1,300
3.517065704,25,25,type1,300
3.517806491,25,25,type1,300
3.518990194,25,25,type1,300
3.52221327,25,25,type1,300
3.522878495,25,25,type1,300
3.525342297,25,25,type1,300
3.526598288,25,25,type1,300
3.528806516,25,25,type1,300
3.533647762,25,125,type3,50
3.534648038,25,25,type1,300
3.540344366,25,25,type1,300
3.541361995,25,25,type1,300
3.543530863,25,25,type1,300
3.545392798,25,25,type1,300
3.546964679,25,25,type1,300
3.547245362,25,25,type1,300
3.549146327,25,25,type1,300
3.551415353,25,25,type1,300
3.552816209,25,25,type1,300
3.553698233,25,25,type1,300
3.554211282,25,25,type1,300
3.55790006,25,25,type1,300
3.558133766,25,25,type1,300
3.558257241,25,25,type1,300
3.562766719,25,25,type1,300
3.565277688,25,25,type1,300
3.569234183,25,25,type1,300
3.570136577,25,125,type3,50
3.574933394,25,125,type3,50
3.585316811,25,25,type1,300
3.586601367,25,25,type1,300
3.590289419,25,25,type1,300
3.590330275,25,25,type1,300
3.590656805,25,25,type1,300
3.593810986,25,25,type1,300
3.594587744,25,25,type1,300
3.595338315,25,25,type1,300
3.598100301,25,75,type2,20
3.599548697,25,25,type1,300
3.622137888,25,125,type3,50
3.626649063,25,25,type1,300
3.633464561,25,25,type1,300
3.635639689,25,25,type1,300
3.650848145,25,25,type1,300
3.650852397,25,25,type1,300
3.651716349,25,25,type1,300
3.654916954,25,25,type1,300
3.655614615,25,25,type1,300
3.656680713,25,25,type1,300
3.657372217,25,25,type1,300
3.657381054,25,125,type3,50
3.661083724,25,25,type1,300
3.661130047,25,25,type1,300
3.664575648,25,25,type1,300
3.665962901,25,125,type3,50
3.666305645,25,25,type1,300
3.670536567,25,25,type1,300
3.67791009,25,25,type1,300
3.678697663,25,25,type1,300
3.679720624,25,25,type1,300
3.684370693,25,25,type1,300
3.685151053,25,25,type1,300
3.685542288,25,25,type1,300
3.685584045,25,125,type3,50
3.689102475,25,25,type1,300
3.690353216,25,25,type1,300
3.69133559,25,125,type3,50
3.691533929,25,125,type3,50
3.701057613,25,25,type1,300
3.702563306,25,75,type2,20
3.703041411,25,25,type1,300
3.70336029,25,25,type1,300
3.704046212,25,25,type1,300
3.70756031,25,75,type2,20
3.709075716,25,25,type1,300
3.71064415,25,25,type1,300
3.713898229,25,25,type1,300
3.720344768,25,25,type1,300
3.720353381,25,25,type1,300
3.722274009,25,25,type1,300
3.72304791,25,25,type1,300
3.72734748,25,25,type1,300
3.729675995,25,25,type1,300
3.731914683,25,25,type1,300
3.736307766,25,25,type1,300
3.737941264,25,125,type3,50
3.739300698,25,125,type3,50
3.741061741,25,25,type1,300
3.744102815,25,75,type2,20
3.745369281,25,25,type1,300
3.746311314,25,25,type1,300
3.749110748,25,125,type3,50
3.749311741,25,25,type1,300
3.753453055,25,25,type1,300
3.754706396,25,125,type3,50
3.767751701,25,25,type1,300
3.769212887,25,125,type3,50
3.769783756,25,25,type1,300
3.776175356,25,25,type1,300
3.776574323,25,25,type1,300
3.779382787,25,25,type1,300
3.782487728,25,25,type1,300
3.790222509,25,25,type1,300
3.792105952,25,25,type1,300
3.796862525,25,25,type1,300
3.799202489,25,125,type3,50
3.806776856,25,25,type1,300
3.808370871,25,25,type1,300
3.81027179,25,25,type1,300
3.81115411,25,75,type2,20
3.811396474,25,25,type1,300
3.818464699,25,25,type1,300
3.822202135,25,25,type1,300
3.825731211,25,25,type1,300
3.826720934,25,25,type1,300
3.829506175,25,125,type3,50
3.830169698,25,25,type1,300
3.830800061,25,25,type1,300
3.833235626,25,25,type1,300
3.837880738,25,25,type1,300
3.842957395,25,25,type1,300
3.84572913,25,25,type1,300
3.846189817,25,25,type1,300
3.851744604,25,25,type1,300
3.856113892,25,25,type1,300
3.861410844,25,125,type3,50
3.867907112,25,25,type1,300
3.870729935,25,25,type1,300
3.872362229,25,25,type1,300
3.875570227,25,25,type1,300
3.884113537,25,125,type3,50
3.886681812,25,125,type3,50
3.890718945,25,25,type1,300
3.892384608,25,25,type1,300
3.892529461,25,25,type1,300
3.8944557,25,25,type1,300
3.901836591,25,25,type1,300
3.902068951,25,25,type1,300
3.902965298,25,25,type1,300
3.903677996,25,25,type1,300
3.90510103,25,25,type1,300
3.908187685,25,25,type1,300
3.908570136,25,25,type1,300
3.909156383,25,25,type1,300
3.917685514,25,125,type3,50
3.92152976,25,25,type1,300
3.926068467,25,25,type1,300
3.92800839,25,25,type1,300
3.934586901,25,25,type1,300
3.939184747,25,125,type3,50
3.943988786,25,25,type1,300
3.945654775,25,25,type1,300
3.948997671,25,25,type1,300
3.950510114,25,25,type1,300
3.95213881,25,25,type1,300
3.954273976,25,25,type1,300
3.954276305,25,25,type1,300
3.95548289,25,125,type3,50
3.955785578,25,25,type1,300
3.956393028,25,25,type1,300
3.958566722,25,25,type1,300
3.959406506,25,25,type1,300
3.959638192,25,25,type1,300
3.959844259,25,25,type1,300
3.96447077,25,125,type3,50
3.965112593,25,125,type3,50
3.966015266,25,75,type2,20
3.968169094,25,25,type1,300
3.970640977,25,25,type1,300
3.974762349,25,25,type1,300
3.975120746,25,25,type1,300
3.97599139,25,25,type1,300
3.976645037,25,25,type1,300
3.976917704,25,25,type1,300
3.977829311,25,125,type3,50
3.978526759,25,25,type1,300
3.982384859,25,125,type3,50
3.984604926,25,25,type1,300
3.985149086,25,25,type1,300
3.985204658,25,25,type1,300
3.987555581,25,25,type1,300
3.989195389,25,25,type1,300
3.98943844,25,25,type1,300
3.99116118,25,25,type1,300
3.991990533,25,25,type1,300
3.995858216,25,25,type1,300
3.996728846,25,25,type1,300
3.999169814,25,25,type1,300
4.00323817,25,25,type1,300
4.003888299,25,25,type1,300
4.006818682,25,25,type1,300
4.012210895,25,25,type1,300
4.012218953,25,25,type1,300
4.012379441,25,25,type1,300
4.025466137,25,25,type1,300
4.030944957,25,25,type1,300
4.035307529,25,25,type1,300
4.036242826,25,75,type2,20
4.03755091,25,25,type1,300
4.037741662,25,75,type2,20
4.039696903,25,125,type3,50
4.049720502,25,25,type1,300
4.050937069,25,25,type1,300
4.05342535,25,75,type2,20
4.054981569,25,125,type3,50
4.059165566,25,25,type1,300
4.059365592,25,25,type1,300
4.061101874,25,25,type1,300
4.064721562,25,25,type1,300
4.0662091,25,125,type3,50
4.068060523,25,125,type3,50
4.069608233,25,125,type3,50
4.072973231,25,25,type1,300
4.073517885,25,25,type1,300
4.075009292,25,25,type1,300
4.075681842,25,25,type1,300
4.075803043,25,25,type1,300
4.080364301,25,125,type3,50
4.082562941,25,25,type1,300
4.085139489,25,125,type3,50
4.086138938,25,25,type1,300
4.086779779,25,125,type3,50
4.091834588,25,25,type1,300
4.092631406,25,25,type1,300
4.095101898,25,25,type1,300
4.096920886,25,25,type1,300
4.097081991,25,25,type1,300
4.099799494,25,25,type1,300
4.105986096,25,125,type3,50
4.108362434,25,25,type1,300
4.115624256,25,125,type3,50
4.119098043,25,125,type3,50
4.122106458,25,25,type1,300
4.128094956,25,125,type3,50
4.129961,25,25,type1,300
4.137676567,25,125,type3,50
4.141935787,25,125,type3,50
4.143950512,25,25,type1,300
4.145309491,25,25,type1,300
4.150893347,25,25,type1,300
4.154775669,25,25,type1,300
4.155313524,25,125,type3,50
4.158390844,25,25,type1,300
4.158802735,25,25,type1,300
4.163807029,25,25,type1,300
4.165924801,25,25,type1,300
4.168254176,25,75,type2,20
4.169222221,25,25,type1,300
4.170651398,25,25,type1,300
4.172173493,25,125,type3,50
4.176245373,25,25,type1,300
4.176602852,25,25,type1,300
4.177643307,25,25,type1,300
4.177771654,25,25,type1,300
4.193772325,25,25,type1,300
4.196958374,25,75,type2,20
4.197001547,25,25,type1,300
4.199705135,25,25,type1,300
4.201826689,25,25,type1,300
4.20970163,25,125,type3,50
4.216918057,25,25,type1,300
4.219904119,25,25,type1,300
4.224473958,25,25,type1,300
4.22586175,25,25,type1,300
4.228630737,25,25,type1,300
4.229275449,25,25,type1,300
4.234811758,25,25,type1,300
4.236693222,25,25,type1,300
4.240323561,25,75,type2,20
4.241065315,25,25,type1,300
4.24403131,25,25,type1,300
4.244068017,25,125,type3,50
4.247547769,25,125,type3,50
4.250519826,25,25,type1,300
4.255796658,25,25,type1,300
4.264962262,25,125,type3,50
4.26648115,25,25,type1,300
4.266885371,25,25,type1,300
4.269477425,25,25,type1,300
4.273394085,25,25,type1,300
4.276394006,25,25,type1,300
4.278922619,25,25,type1,300
4.280107016,25,25,type1,300
4.28028217,25,125,type3,50
4.282408458,25,25,type1,300
4.282568605,25,25,type1,300
4.286993303,25,25,type1,300
4.290569463,25,25,type1,300
4.292640954,25,25,type1,300
4.297691167,25,25,type1,300
4.297734793,25,25,type1,300
4.299490221,25,25,type1,300
4.305071823,25,25,type1,300
4.312379329,25,25,type1,300
4.322549585,25,25,type1,300
4.322664572,25,25,type1,300
4.323064192,25,25,type1,300
4.323871166,25,25,type1,300
4.324803702,25,25,type1,300
4.328453159,25,25,type1,300
4.332583971,25,25,type1,300
4.332967029,25,25,type1,300
4.333699515,25,25,type1,300
4.336954216,25,125,type3,50
4.341950729,25,25,type1,300
4.346153862,25,25,type1,300
4.349839191,25,125,type3,50
4.352044853,25,25,type1,300
4.353386941,25,25,type1,300
4.356837662,25,25,type1,300
